item_id,titre,genre,annee,duree_min,score_critique
61,Film_061,Romance,1995,89,8.7
62,Film_062,Drame,2000,153,7.1
63,Film_063,Documentaire,2021,119,7.8
64,Film_064,Thriller,2023,75,5.6
65,Film_065,Drame,2009,176,7.7
66,Film_066,Documentaire,2005,92,8.1
67,Film_067,Drame,2001,137,6.8
68,Film_068,Action,2010,94,6.9
69,Film_069,Thriller,2010,172,6.9
70,Film_070,Animation,2000,152,5.2
71,Film_071,Comedie,1990,159,6.3
72,Film_072,Thriller,1995,120,6.3
73,Film_073,Comedie,2022,124,7.1
74,Film_074,Romance,2004,141,8.0
75,Film_075,Thriller,2006,157,4.9
76,Film_076,Drame,2005,163,6.3
77,Film_077,Comedie,2016,76,8.7
78,Film_078,SF,1992,144,5.4
79,Film_079,Romance,1992,86,5.3
80,Film_080,Documentaire,1999,105,6.8
81,Film_081,Thriller,2006,162,7.8
82,Film_082,Comedie,2012,101,6.5
83,Film_083,Animation,2006,158,8.5
84,Film_084,Romance,2004,123,7.8
85,Film_085,Romance,2021,99,7.8
86,Film_086,Action,1995,110,7.3
87,Film_087,Drame,2009,130,10.0
88,Film_088,Animation,2008,155,6.2
89,Film_089,Animation,2006,138,3.5
90,Film_090,Thriller,2017,172,8.9
91,Film_091,Animation,1999,166,5.8
92,Film_092,Animation,2022,154,6.7
93,Film_093,Thriller,2001,138,8.5
94,Film_094,Documentaire,2008,105,4.1
95,Film_095,Drame,2007,118,4.6
96,Film_096,Comedie,2018,87,4.1
97,Film_097,Romance,2004,114,5.3
98,Film_098,Romance,1999,172,7.2
99,Film_099,Comedie,1990,119,7.3
100,Film_100,Animation,2002,86,6.9
101,Film_101,Comedie,2018,143,4.4
102,Film_102,Animation,1990,176,3.0
103,Film_103,Action,2020,166,6.6
104,Film_104,Animation,2008,103,5.8
105,Film_105,Animation,1994,122,7.2
106,Film_106,Animation,2000,130,7.6
107,Film_107,Romance,2008,101,6.7
108,Film_108,Thriller,2000,103,7.6
109,Film_109,Romance,1993,99,6.8
110,Film_110,Drame,2012,179,7.3
111,Film_111,Animation,2012,153,5.4
112,Film_112,SF,1994,163,6.2
113,Film_113,Thriller,1999,160,6.8
114,Film_114,SF,1998,175,7.7
115,Film_115,SF,2012,86,5.9
116,Film_116,Action,2014,167,7.3
117,Film_117,Comedie,2014,81,6.1
118,Film_118,Comedie,2021,124,6.3
119,Film_119,Action,2016,137,7.7
120,Film_120,Thriller,2000,112,3.5
121,Film_121,Romance,1993,90,4.6
122,Film_122,Romance,2010,95,4.3
123,Film_123,Thriller,2021,161,3.0
124,Film_124,Animation,2023,108,5.5
125,Film_125,SF,1997,107,7.6
126,Film_126,Action,1998,171,6.1
127,Film_127,Animation,1991,90,6.8
128,Film_128,SF,1994,171,8.1
129,Film_129,Romance,2008,171,8.5
130,Film_130,SF,2008,137,6.4
131,Film_131,SF,2002,92,8.5
132,Film_132,Action,2000,91,6.6
133,Film_133,SF,2018,104,5.2
134,Film_134,Animation,2005,135,5.6
135,Film_135,Drame,2017,91,4.3
136,Film_136,SF,2022,122,5.2
137,Film_137,Action,2000,87,6.0
138,Film_138,Drame,1996,131,7.7
139,Film_139,Thriller,2022,77,9.1
140,Film_140,Documentaire,2011,149,4.4
141,Film_141,Comedie,1999,80,7.1
142,Film_142,Drame,2011,95,4.9
143,Film_143,Thriller,2007,93,7.2
144,Film_144,Documentaire,2020,162,6.3
145,Film_145,Animation,1998,80,3.8
146,Film_146,Action,2023,120,7.9
147,Film_147,Comedie,2021,137,5.6
148,Film_148,Animation,1996,129,5.7
149,Film_149,Action,1995,146,4.9
150,Film_150,Animation,2008,159,5.5
151,Film_151,Drame,1991,116,7.1
152,Film_152,Documentaire,2000,161,6.2
153,Film_153,Drame,2004,108,7.0
154,Film_154,Thriller,2022,178,7.0
155,Film_155,Romance,2023,127,8.5
156,Film_156,Comedie,1995,152,6.0
157,Film_157,SF,2020,166,4.3
158,Film_158,SF,1993,158,8.1
159,Film_159,Animation,2015,164,6.0
160,Film_160,Documentaire,2018,131,8.2
161,Film_161,Romance,2020,79,7.1
162,Film_162,Thriller,1997,126,6.3
163,Film_163,Thriller,2020,94,7.0
164,Film_164,Thriller,1993,168,9.4
165,Film_165,Animation,2007,99,9.6
166,Film_166,Drame,2005,98,6.6
167,Film_167,Comedie,2000,101,6.7
168,Film_168,Drame,1990,142,8.1
169,Film_169,Action,2016,134,5.2
170,Film_170,Action,2001,174,7.0
171,Film_171,Action,2012,118,6.5
172,Film_172,Animation,2003,104,7.0
173,Film_173,Romance,2002,80,5.2
174,Film_174,Romance,2020,75,4.1
175,Film_175,Thriller,1993,114,3.4
176,Film_176,Romance,2015,172,4.8
177,Film_177,Comedie,2015,129,5.8
178,Film_178,Documentaire,2002,168,6.1
179,Film_179,SF,1998,85,9.4
180,Film_180,Documentaire,1990,84,8.2
181,Film_181,Comedie,2021,162,5.1
182,Film_182,Thriller,2022,86,7.0
183,Film_183,Romance,1998,80,5.9
184,Film_184,Thriller,1991,117,6.1
185,Film_185,Thriller,1994,172,6.8
186,Film_186,Comedie,1992,147,7.4
187,Film_187,Thriller,2018,85,6.0
188,Film_188,Comedie,2020,162,8.1
189,Film_189,Drame,1995,163,4.8
190,Film_190,Romance,2015,159,6.5
191,Film_191,Romance,1996,169,10.0
192,Film_192,SF,2002,100,6.8
193,Film_193,Drame,2010,177,8.6
194,Film_194,Documentaire,2014,108,6.6
195,Film_195,Action,2019,159,7.4
196,Film_196,Drame,1991,135,6.4
197,Film_197,Action,1996,156,6.2
198,Film_198,Drame,1999,140,5.3
199,Film_199,Documentaire,2000,142,7.1
